Chr_Start	line
Chr1_38426092	EG4
Chr1_38625309	EG4
Chr1_38649195	EG4
Chr1_38674211	EG4
Chr1_38859875	EG4
Chr1_38898351	EG4
Chr1_39146347	EG4
Chr1_39147393	EG4
Chr1_39152986	EG4
Chr1_39364001	EG4
Chr1_39395727	EG4
Chr1_39543337	EG4
Chr1_39957256	EG4
Chr1_40220461	EG4
Chr1_40446605	EG4
Chr1_40469771	EG4
Chr1_40641753	EG4
Chr1_40818574	EG4
Chr1_40832861	EG4
Chr1_41148510	EG4
Chr1_41293487	EG4
Chr1_41818258	EG4
Chr1_42062685	EG4
Chr1_42147041	EG4
Chr1_42156580	EG4
Chr1_42539790	EG4
Chr1_42599828	EG4
Chr1_42930249	EG4
Chr2_217914	EG4
Chr2_223439	EG4
Chr2_682275	EG4
Chr2_913612	EG4
Chr2_1161810	EG4
Chr2_1718924	EG4
Chr2_2025375	EG4
Chr2_3502593	EG4
Chr2_3639030	EG4
Chr2_4314534	EG4
Chr2_4772219	EG4
Chr2_5193146	EG4
Chr2_5763675	EG4
Chr2_5855199	EG4
Chr2_5857977	EG4
Chr2_6951579	EG4
Chr2_7113419	EG4
Chr2_7476139	EG4
Chr2_8019723	EG4
Chr2_8112930	EG4
Chr2_8898159	EG4
Chr2_10076666	EG4
Chr2_11594056	EG4
Chr2_12467699	EG4
Chr2_13200713	EG4
Chr2_14601852	EG4
Chr2_15395122	EG4
Chr2_16368114	EG4
Chr2_18569682	EG4
Chr2_20079932	EG4
Chr2_20144822	EG4
Chr2_20589716	EG4
Chr2_20722278	EG4
Chr2_20894874	EG4
Chr2_21319933	EG4
Chr2_21443359	EG4
Chr2_22478976	EG4
Chr2_22523629	EG4
Chr2_22545099	EG4
Chr2_23088577	EG4
Chr2_23882556	EG4
Chr2_24014617	EG4
Chr2_25548874	EG4
Chr2_25969391	EG4
Chr2_26510354	EG4
Chr2_26711768	EG4
Chr2_27162234	EG4
Chr2_27201257	EG4
Chr2_27244609	EG4
Chr2_27685184	EG4
Chr2_28376796	EG4
Chr2_28662451	EG4
Chr2_28724475	EG4
Chr2_28732622	EG4
Chr2_29314301	EG4
Chr2_29547914	EG4
Chr2_29576699	EG4
Chr2_29763501	EG4
Chr2_30104996	EG4
Chr2_30818507	EG4
Chr2_30934394	EG4
Chr2_31455300	EG4
Chr2_31636376	EG4
Chr2_31660939	EG4
Chr2_32190834	EG4
Chr2_32301245	EG4
Chr2_32382017	EG4
Chr2_32397173	EG4
Chr2_32572257	EG4
Chr2_32858535	EG4
Chr2_33231673	EG4
Chr2_33559718	EG4
Chr2_33835811	EG4
Chr2_33871068	EG4
Chr2_34627178	EG4
Chr2_34670529	EG4
Chr2_34906640	EG4
Chr2_35227626	EG4
Chr2_35248756	EG4
Chr3_198571	EG4
Chr3_399054	EG4
Chr3_457158	EG4
Chr3_511328	EG4
Chr3_982230	EG4
Chr3_1247287	EG4
Chr3_1298985	EG4
Chr3_1431128	EG4
Chr3_1969220	EG4
Chr3_2085957	EG4
Chr3_3623526	EG4
Chr3_3804369	EG4
Chr3_3829094	EG4
Chr3_3872633	EG4
Chr3_4238663	EG4
Chr3_4266654	EG4
Chr3_4377251	EG4
Chr3_4797188	EG4
Chr3_4833786	EG4
Chr3_5042629	EG4
Chr3_5454779	EG4
Chr3_6024419	EG4
Chr3_6154019	EG4
Chr3_6261802	EG4
Chr3_6328407	EG4
Chr3_6439653	EG4
Chr3_6441698	EG4
Chr3_6512008	EG4
Chr3_7296366	EG4
Chr3_8349120	EG4
Chr3_8629496	EG4
Chr3_9014022	EG4
Chr3_9162953	EG4
Chr3_9336145	EG4
Chr3_9407572	EG4
Chr3_10084474	EG4
Chr3_10593110	EG4
Chr3_10748543	EG4
Chr3_10990368	EG4
Chr3_11329079	EG4
Chr3_11484094	EG4
Chr3_11781492	EG4
Chr3_11922189	EG4
Chr3_12046563	EG4
Chr3_12046810	EG4
Chr3_12409836	EG4
Chr3_13027115	EG4
Chr3_13281743	EG4
Chr3_13683978	EG4
Chr3_14597026	EG4
Chr3_15487800	EG4
Chr3_15698485	EG4
Chr3_16222139	EG4
Chr3_16551322	EG4
Chr3_17642390	EG4
Chr3_21233166	EG4
Chr3_24840821	EG4
Chr3_24855528	EG4
Chr3_26028785	EG4
Chr3_26753247	EG4
Chr3_26851144	EG4
Chr3_28019799	EG4
Chr3_28088458	EG4
Chr3_28167520	EG4
Chr3_28365656	EG4
Chr3_28577817	EG4
Chr3_29404857	EG4
Chr3_30205084	EG4
Chr3_31364756	EG4
Chr3_31662046	EG4
Chr3_31683284	EG4
Chr3_31837376	EG4
Chr3_31890842	EG4
Chr3_32548452	EG4
Chr3_32650638	EG4
Chr3_32710402	EG4
Chr3_32858970	EG4
Chr3_33902571	EG4
Chr3_34077805	EG4
Chr3_34107487	EG4
Chr3_34361762	EG4
Chr3_34774768	EG4
Chr3_35894894	EG4
Chr3_35945978	EG4
Chr3_36156326	EG4
Chr4_1877632	EG4
Chr4_5214492	EG4
Chr4_6058783	EG4
Chr4_7389412	EG4
Chr4_11690712	EG4
Chr4_13285705	EG4
Chr4_13471890	EG4
Chr4_15070774	EG4
Chr4_18566523	EG4
Chr4_19359151	EG4
Chr4_19471781	EG4
Chr4_19510849	EG4
Chr4_19922772	EG4
Chr4_19988237	EG4
Chr4_19999251	EG4
Chr4_20249931	EG4
Chr4_21602062	EG4
Chr4_21673100	EG4
Chr4_21832417	EG4
Chr4_21998763	EG4
Chr4_22198162	EG4
Chr4_23198999	EG4
Chr4_23342823	EG4
Chr4_23439375	EG4
Chr4_23564792	EG4
Chr4_23571129	EG4
Chr4_23585578	EG4
Chr4_24089600	EG4
Chr4_24089809	EG4
Chr4_24101202	EG4
Chr4_24208720	EG4
Chr4_25029909	EG4
Chr4_25771128	EG4
Chr4_26020116	EG4
Chr4_26451868	EG4
Chr4_26982347	EG4
Chr4_27475744	EG4
Chr4_27542803	EG4
Chr4_27814002	EG4
Chr4_28018210	EG4
Chr4_28289922	EG4
Chr4_28739796	EG4
Chr4_28903395	EG4
Chr4_29218324	EG4
Chr4_29603862	EG4
Chr4_30320687	EG4
Chr4_30513996	EG4
Chr4_31677001	EG4
Chr4_31904071	EG4
Chr4_31997419	EG4
Chr4_32326934	EG4
Chr4_32766521	EG4
Chr4_33017280	EG4
Chr4_33189356	EG4
Chr4_33507342	EG4
Chr4_33755373	EG4
Chr4_33861549	EG4
Chr4_34052704	EG4
Chr4_35244613	EG4
Chr4_35422418	EG4
Chr5_226599	EG4
Chr5_745152	EG4
Chr5_772693	EG4
Chr5_1441038	EG4
Chr5_1779799	EG4
Chr5_2148360	EG4
Chr5_2156797	EG4
Chr5_2292903	EG4
Chr5_3849221	EG4
Chr5_4249077	EG4
Chr5_4687185	EG4
Chr5_5370455	EG4
Chr5_6164427	EG4
Chr5_6604411	EG4
Chr5_7498589	EG4
Chr5_14154609	EG4
Chr5_14452334	EG4
Chr5_14654627	EG4
Chr5_14878343	EG4
Chr5_15210312	EG4
Chr5_15213005	EG4
Chr5_15488459	EG4
Chr5_15586257	EG4
Chr5_15698448	EG4
Chr5_16084832	EG4
Chr5_16364135	EG4
Chr5_16615708	EG4
Chr5_19961219	EG4
Chr5_20117984	EG4
Chr5_20192187	EG4
Chr5_20591982	EG4
Chr5_22027348	EG4
Chr5_22056643	EG4
Chr5_22526122	EG4
Chr5_22646608	EG4
Chr5_22917113	EG4
Chr5_23257993	EG4
Chr5_23730901	EG4
Chr5_24643228	EG4
Chr5_24878618	EG4
Chr5_25474860	EG4
Chr5_25536620	EG4
Chr5_25546565	EG4
Chr5_25829848	EG4
Chr5_26247574	EG4
Chr5_26358921	EG4
Chr5_28151163	EG4
Chr5_28647319	EG4
Chr5_28927630	EG4
Chr5_29019505	EG4
Chr5_29722383	EG4
Chr6_844778	EG4
Chr6_1730612	EG4
Chr6_2035334	EG4
Chr6_2856375	EG4
Chr6_4005007	EG4
Chr6_4093155	EG4
Chr6_4234882	EG4
Chr6_4729736	EG4
Chr6_5175416	EG4
Chr6_5502988	EG4
Chr6_5711664	EG4
Chr6_5760194	EG4
Chr6_6151041	EG4
Chr6_6356701	EG4
Chr6_6521724	EG4
Chr6_6848915	EG4
Chr6_7253875	EG4
Chr6_7690781	EG4
Chr6_8042612	EG4
Chr6_8279423	EG4
Chr6_8316573	EG4
Chr6_8318684	EG4
Chr6_8356630	EG4
Chr6_10143336	EG4
Chr6_10926509	EG4
Chr6_11552864	EG4
Chr6_12091522	EG4
Chr6_14533007	EG4
Chr6_14790332	EG4
Chr6_15893886	EG4
Chr6_17106305	EG4
Chr6_17922886	EG4
Chr6_18823102	EG4
Chr6_18886269	EG4
Chr6_20717706	EG4
Chr6_21010524	EG4
Chr6_22646014	EG4
Chr6_22695566	EG4
Chr6_23126473	EG4
Chr6_23535330	EG4
Chr6_24310180	EG4
Chr6_24594486	EG4
Chr6_24594638	EG4
Chr6_25002505	EG4
Chr6_25103031	EG4
Chr6_25864117	EG4
Chr6_25917763	EG4
Chr6_26083882	EG4
Chr6_26944607	EG4
Chr6_27840590	EG4
Chr6_28118769	EG4
Chr6_29048878	EG4
Chr6_29691949	EG4
Chr6_30049592	EG4
Chr6_30293898	EG4
Chr6_30296350	EG4
Chr6_30450782	EG4
Chr6_30823271	EG4
Chr7_429081	EG4
Chr7_1246440	EG4
Chr7_1554683	EG4
Chr7_2205350	EG4
Chr7_2738726	EG4
Chr7_3667744	EG4
Chr7_4802471	EG4
Chr7_4910921	EG4
Chr7_5160300	EG4
Chr7_7314673	EG4
Chr7_8294689	EG4
Chr7_11852824	EG4
Chr7_13481674	EG4
Chr7_14975640	EG4
Chr7_15400641	EG4
Chr7_16023231	EG4
Chr7_16612755	EG4
Chr7_17125849	EG4
Chr7_18920531	EG4
Chr7_20093473	EG4
Chr7_20152298	EG4
Chr7_20204537	EG4
Chr7_21376224	EG4
Chr7_22060084	EG4
Chr7_22529403	EG4
Chr7_22533203	EG4
Chr7_23009796	EG4
Chr7_23272149	EG4
Chr7_23752426	EG4
Chr7_23852998	EG4
Chr7_23898252	EG4
Chr7_24075931	EG4
Chr7_24438348	EG4
Chr7_25772024	EG4
Chr7_25788367	EG4
Chr7_25985475	EG4
Chr7_26090553	EG4
Chr7_26156681	EG4
Chr7_26338630	EG4
Chr7_26460306	EG4
Chr7_27443189	EG4
Chr7_28047547	EG4
Chr7_28151482	EG4
Chr7_28821662	EG4
Chr7_29015071	EG4
Chr7_29154627	EG4
Chr7_29475469	EG4
Chr7_29484348	EG4
Chr8_271838	EG4
Chr8_273040	EG4
Chr8_306746	EG4
Chr8_458414	EG4
Chr8_737333	EG4
Chr8_763043	EG4
Chr8_973879	EG4
Chr8_1012378	EG4
Chr8_1462967	EG4
Chr8_2433357	EG4
Chr8_5378085	EG4
Chr8_8431092	EG4
Chr8_8581519	EG4
Chr8_8655021	EG4
Chr8_9060427	EG4
Chr8_9385126	EG4
Chr8_11403144	EG4
Chr8_14721481	EG4
Chr8_15387726	EG4
Chr8_19197270	EG4
Chr8_19452247	EG4
Chr8_19612715	EG4
Chr8_20120594	EG4
Chr8_20628371	EG4
Chr8_21756196	EG4
Chr8_22948359	EG4
Chr8_22958988	EG4
Chr8_23025728	EG4
Chr8_23290288	EG4
Chr8_23665412	EG4
Chr8_23802327	EG4
Chr8_24585355	EG4
Chr8_24622993	EG4
Chr8_24830425	EG4
Chr8_24965703	EG4
Chr8_25236839	EG4
Chr8_25278858	EG4
Chr8_25450358	EG4
Chr8_25611877	EG4
Chr8_25881177	EG4
Chr8_26374789	EG4
Chr8_26397346	EG4
Chr8_27109714	EG4
Chr8_27153070	EG4
Chr8_28049379	EG4
Chr8_28383893	EG4
Chr9_643090	EG4
Chr9_968866	EG4
Chr9_2094377	EG4
Chr9_4307878	EG4
Chr9_5619074	EG4
Chr9_6030899	EG4
Chr9_7117394	EG4
Chr9_7248750	EG4
Chr9_9582125	EG4
Chr9_10863117	EG4
Chr9_13584175	EG4
Chr9_13736140	EG4
Chr9_13737777	EG4
Chr9_13762430	EG4
Chr9_14118722	EG4
Chr9_14700756	EG4
Chr9_14782689	EG4
Chr9_14977977	EG4
Chr9_15263054	EG4
Chr9_15394514	EG4
Chr9_15532716	EG4
Chr9_15873913	EG4
Chr9_15912166	EG4
Chr9_16024217	EG4
Chr9_16104394	EG4
Chr9_16330819	EG4
Chr9_16690611	EG4
Chr9_17071065	EG4
Chr9_17452746	EG4
Chr9_17534147	EG4
Chr9_17681464	EG4
Chr9_18354393	EG4
Chr9_18375280	EG4
Chr9_18705898	EG4
Chr9_19033418	EG4
Chr9_19596968	EG4
Chr9_19641732	EG4
Chr9_20809355	EG4
Chr9_21458343	EG4
Chr9_21744262	EG4
Chr9_21884648	EG4
Chr9_22186804	EG4
Chr9_22827569	EG4
Chr9_22906167	EG4
Chr10_1242358	EG4
Chr10_2854242	EG4
Chr10_4007945	EG4
Chr10_6566242	EG4
Chr10_6896565	EG4
Chr10_9169249	EG4
Chr10_11955069	EG4
Chr10_13030577	EG4
Chr10_13102743	EG4
Chr10_13370540	EG4
Chr10_14020305	EG4
Chr10_16851281	EG4
Chr10_17020822	EG4
Chr10_17446040	EG4
Chr10_17496870	EG4
Chr10_17887155	EG4
Chr10_18044213	EG4
Chr10_18765102	EG4
Chr10_18779258	EG4
Chr10_18969591	EG4
Chr10_20589624	EG4
Chr10_21163117	EG4
Chr10_21361205	EG4
Chr10_21760885	EG4
Chr10_22510406	EG4
Chr10_22578378	EG4
Chr11_714170	EG4
Chr11_714789	EG4
Chr11_966068	EG4
Chr11_1952737	EG4
Chr11_2742202	EG4
Chr11_4045616	EG4
Chr11_4179065	EG4
Chr11_4478373	EG4
Chr11_4740975	EG4
Chr11_6969695	EG4
Chr11_7425459	EG4
Chr11_7503885	EG4
Chr11_10797352	EG4
Chr11_10863128	EG4
Chr11_11100554	EG4
Chr11_14340124	EG4
Chr11_14578664	EG4
Chr11_14670785	EG4
Chr11_16397044	EG4
Chr11_16894771	EG4
Chr11_17868746	EG4
Chr11_18586266	EG4
Chr11_19084256	EG4
Chr11_19229151	EG4
Chr11_19939293	EG4
Chr11_20038503	EG4
Chr11_20490424	EG4
Chr11_20550382	EG4
Chr11_20895230	EG4
Chr11_20942174	EG4
Chr11_21114459	EG4
Chr11_21176363	EG4
Chr11_21459183	EG4
Chr11_22019926	EG4
Chr11_22474608	EG4
Chr11_22938097	EG4
Chr11_24682791	EG4
Chr11_25523875	EG4
Chr11_25599582	EG4
Chr11_26077403	EG4
Chr11_28213973	EG4
Chr11_28625681	EG4
Chr12_332028	EG4
Chr12_706666	EG4
Chr12_743980	EG4
Chr12_1886037	EG4
Chr12_2870893	EG4
Chr12_3119685	EG4
Chr12_3369492	EG4
Chr12_3616589	EG4
Chr12_4097961	EG4
Chr12_4965477	EG4
Chr12_5160188	EG4
Chr12_6625423	EG4
Chr12_8090820	EG4
Chr12_8852563	EG4
Chr12_8882993	EG4
Chr12_9350664	EG4
Chr12_9370479	EG4
Chr12_10612330	EG4
Chr12_12580932	EG4
Chr12_15140181	EG4
Chr12_17526130	EG4
Chr12_19177972	EG4
Chr12_19590292	EG4
Chr12_23877482	EG4
Chr12_24091666	EG4
Chr12_24244568	EG4
Chr12_24247326	EG4
Chr12_24587179	EG4
Chr12_24595102	EG4
Chr12_26012061	EG4
Chr12_26261129	EG4
